track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,time_signature,duration_min,labels
0Pty8SVxAew9j7eBOD8Kaa,0.665,0.875,7,-12.722,1,0.0402,0.0928,0.00901,0.157,0.707,102.326,4,4.266,1
4wUQvovMEkByMvZNCecZ9v,0.775,0.837,9,-5.462,0,0.0343,0.5,0.00235,0.298,0.842,115.099,4,4.172883333333333,1
67FOOzqXQ2nakluuYtlCPH,0.751,0.784,2,-6.418,1,0.0507,0.102,2.3e-05,0.412,0.927,125.653,4,4.3434333333333335,1
3FYDqY5BRtx3IVSaiQZSze,0.684,0.843,9,-4.256,1,0.0296,0.183,1.67e-05,0.0635,0.885,132.027,4,4.395116666666667,1
1CBIuAyhpCx59gNZVNcLHF,0.328,0.839,2,-6.297,1,0.0847,0.511,0.101,0.185,0.51,173.121,4,4.658883333333334,1
1ENVsN4Xd2SkzETDaDzsb1,0.572,0.589,2,-8.415,0,0.0283,0.183,1.75e-05,0.296,0.381,120.115,4,4.70445,1
0nVJ02dmK1xiQQmUIxbWdw,0.516,0.713,5,-9.988,1,0.0362,0.215,0.0558,0.213,0.644,97.304,4,4.074883333333333,0
46zdYb6GToDHiGglQZyTee,0.788,0.672,9,-6.25,0,0.0314,0.233,0.0363,0.0571,0.655,117.871,4,3.9922166666666654,1
5X0xhUWh5d1LltgEPnGl1I,0.569,0.817,9,-6.45,1,0.0496,0.461,0.000414,0.283,0.856,129.437,4,3.818666666666666,1
0tiDJkOnZHCNY4NPoJ1loj,0.642,0.755,0,-7.402,0,0.0328,0.16,1.47e-06,0.0698,0.785,95.013,4,4.6085,1
3RQ9GQryeaGuTuqWXePve0,0.747,0.567,2,-6.853,0,0.0398,0.499,1.05e-06,0.132,0.803,116.474,4,3.97,1
4KVPAebhepV9sVij4E7btr,0.528,0.582,0,-6.537,1,0.0572,0.632,0.00388,0.118,0.614,170.051,4,3.1306666666666665,0
3lqcQG1g2yImyOy0B0PbHO,0.418,0.826,6,-8.136,1,0.0441,0.291,0.000171,0.15,0.552,167.192,4,3.868,1
09tmSzM2ugauLzrtJV2ueP,0.629,0.673,0,-8.459,1,0.0478,0.532,5.45e-06,0.0795,0.756,90.142,4,4.622883333333333,1
2xVHIeH1pLMuaxpeh0p8HE,0.716,0.569,0,-10.403,1,0.0327,0.34,0.0062,0.124,0.519,115.869,4,6.116666666666666,0
1ExZMgyXz5iJ6EqRZN2S2l,0.628,0.515,7,-10.496,1,0.0295,0.747,0.00172,0.0962,0.704,100.754,4,5.02445,0
7w9ahsa22ruqFptUAjf2GA,0.664,0.668,5,-9.32,1,0.0384,0.654,0.0,0.416,0.748,107.584,4,3.03355,1
1BvkamSB76T8xu8H2K4bL1,0.627,0.788,5,-6.282,0,0.0404,0.0939,1.83e-05,0.145,0.667,122.327,4,4.876216666666667,1
2GNqmJEmKtMDRfZQW8ZGuU,0.845,0.78,0,-8.051,1,0.0281,0.225,0.00636,0.0832,0.963,108.93,4,4.878666666666667,1
72xnTsNT9Ylrkx3QqmHPNZ,0.801,0.744,7,-12.571,1,0.0371,0.205,0.046,0.0404,0.736,112.39,4,4.745316666666667,1
44MAe7e2MbOPLnP3XWC8ie,0.626,0.462,2,-11.36,1,0.0715,0.0175,1.44e-06,0.067,0.672,102.35,4,4.183333333333334,1
3z0rqeE4xLdcZ3zd5YLRhF,0.757,0.465,11,-10.445,0,0.0366,0.0731,0.00622,0.0463,0.575,102.522,4,4.115333333333333,1
6ggCUjC5j2uhighYnTee8X,0.609,0.761,1,-7.178,1,0.034,0.108,0.761,0.141,0.671,91.823,4,5.42555,0
0Bm8KQPVBA4neqiy5mqEiw,0.497,0.715,2,-7.965,1,0.0306,0.23,1.29e-05,0.151,0.846,118.122,4,3.24755,1
1iBXurhUg4EBnc8SazN3p1,0.703,0.864,7,-6.612,0,0.031,0.0427,0.000212,0.381,0.905,126.439,4,4.058466666666667,1
2Linyb8KGFUX1yDn5zwnSe,0.634,0.622,0,-7.543,1,0.0367,0.202,0.00114,0.0726,0.647,97.649,4,4.566216666666667,0
1ZwRYkM0YqiaP4CeIjCtSW,0.707,0.534,6,-8.063,0,0.0391,0.546,0.00194,0.0918,0.851,157.239,4,4.493116666666666,1
3xcZ5tTH1PBHzb1miiApl0,0.65,0.679,4,-8.847,0,0.03,0.247,0.0048,0.359,0.875,102.953,4,4.04445,0
4DhKgRHv5MzNCzLhTEByZi,0.649,0.556,4,-8.702,1,0.0309,0.715,0.000233,0.309,0.619,109.412,4,3.1136666666666666,0
1Rg0d16ibIp4AYb0womuG3,0.651,0.44,8,-7.881,1,0.0264,0.764,1.18e-05,0.0806,0.4,128.913,4,3.8038666666666665,0
1H9RGVK5hw404lHcKCSA67,0.821,0.785,1,-4.35,0,0.0296,0.336,0.0,0.347,0.929,103.888,4,4.3,1
