track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,time_signature,track_popularity,artist_popularity,duration_min,duration_group,speechiness_group,liveness_group,predicted_label
4IxiK8RLGIowMNvKcM1cAk,0.703,0.682,2,-5.965,0,0.0361,0.0719,0.00146,0.295,0.486,94.987,4,53,63,3.240483333333333,1,0,0,1
1qKoTgcDKLE84ILgn2pIdV,0.655,0.894,0,-3.09,0,0.0961,0.512,3.84e-06,0.325,0.902,186.191,4,49,63,3.49475,1,0,0,1
5RUAZMNWuyosJrxd3yTv2p,0.826,0.881,9,-4.162,0,0.0475,0.0266,2.99e-05,0.0675,0.8,113.329,4,43,53,2.2586666666666666,0,0,0,1
1Bq52zGa45utJjyUiVj2TR,0.835,0.835,9,-6.767,1,0.0973,0.0153,0.53,0.0586,0.735,113.456,4,43,53,2.6273333333333335,0,0,0,1
4BHYeXEfQ9ybINlT9d1uql,0.756,0.762,7,-6.411,1,0.0411,0.13,0.0,0.131,0.4,91.977,4,42,63,3.3584833333333335,1,0,0,1
1F1TYxaqg4g8kCnbC0mLSV,0.76,0.934,7,-3.212,1,0.0497,0.00703,0.0742,0.31,0.934,120.025,4,38,63,3.77905,1,0,0,2
0oXLSuno5adlHcPzlzs8l6,0.674,0.774,6,-6.004,0,0.0349,0.325,1.52e-06,0.323,0.702,129.951,4,72,62,4.58955,1,0,0,1
1AAjTcCp9v9g8bQM4fJDiF,0.475,0.754,5,-4.946,1,0.0294,0.0474,0.0,0.546,0.482,76.94,4,64,62,3.6619166666666665,1,0,0,1
1vrq0gc8U6kxkNNnD79gEp,0.557,0.701,0,-3.436,1,0.029,0.238,0.0,0.184,0.324,133.854,4,63,62,3.623783333333334,1,0,0,1
6jGgYKzoKFZxV2whojKcKz,0.656,0.707,11,-4.203,0,0.0692,0.29,0.0,0.325,0.638,165.98,4,62,62,4.154883333333333,1,0,0,1
27qjcww3SKGeD4wTUOJEeh,0.63,0.485,8,-7.249,1,0.0309,0.891,1.57e-06,0.154,0.501,147.855,4,62,62,3.947783333333333,1,0,0,0
5mQAisM7QzOcAGwi9uSMIh,0.566,0.828,8,-4.626,1,0.0384,0.635,0.0,0.065,0.669,149.965,4,61,62,2.9688833333333333,0,0,0,1
0Qzkm9CSXwK2Fk3Gm0ioDA,0.76,0.731,0,-7.368,0,0.029,0.397,0.000399,0.509,0.978,115.018,4,55,62,5.446633333333334,2,0,0,1
7odYiArHz46LerX6TlA4Se,0.604,0.446,9,-6.897,1,0.0277,0.741,0.0,0.181,0.145,129.957,4,57,62,3.7937833333333337,1,0,0,0
2RRNykB8lcVUwiNdBrkrQu,0.789,0.728,10,-6.63,0,0.0427,0.0155,0.000862,0.0916,0.926,106.999,4,56,62,5.01155,2,0,0,1
6PUIzlqotEmPuBfjbwYWOB,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,4,77,90,3.5818666666666665,1,0,0,2
4PdJSsESm34djLfBde9Pr2,0.671,0.826,7,-5.766,0,0.309,0.00718,0.0,0.631,0.774,123.986,4,64,86,3.294133333333334,1,0,0,1
7sJdjALeEOXSIIvlMPdJAe,0.785,0.826,9,-4.851,0,0.0706,0.0045,0.477,0.0957,0.647,126.997,4,39,64,3.7012,1,0,0,2
1BekxmZKaOuPxxlS7kF1Gz,0.566,0.949,8,-6.906,1,0.043,0.00397,0.42,0.0563,0.108,126.032,4,50,73,2.727333333333333,0,0,0,2
624OsUC4x3pIHUrKJBSuDC,0.648,0.969,4,-2.017,0,0.104,0.0231,0.57,0.0693,0.194,125.016,4,53,64,2.112,0,0,0,2
5nwcPl5fG6Rx1IWPsaUJI9,0.617,0.898,6,-5.262,0,0.0655,0.00916,0.0,0.635,0.606,125.056,4,49,69,3.704,1,0,0,2
40CAiRmr9j4tSdcJok5PJZ,0.629,0.845,11,-5.286,0,0.0339,0.00627,0.144,0.123,0.216,124.002,4,48,46,3.3007166666666667,1,0,0,2
7pbrCMnfPDsm0jDzoVatZw,0.645,0.89,0,-5.122,1,0.0288,0.0641,0.34,0.113,0.193,125.0,4,46,47,3.456,1,0,0,1
2xQhpYSiYn5DQfr73aOTTM,0.633,0.964,2,-3.573,1,0.0298,0.158,0.0159,0.204,0.188,124.022,4,52,64,2.5993833333333334,0,0,0,1
1eFwJoCJj6FoeUhx07CDys,0.785,0.539,7,-8.23,1,0.0505,0.0134,8.61e-06,0.0528,0.721,137.999,4,34,63,4.407783333333334,1,0,0,1
0XQAufyWeOfeDpcaTAddCO,0.516,0.481,9,-5.131,1,0.0262,0.389,1.87e-05,0.107,0.135,89.856,4,32,63,4.425,1,0,0,0
0L30xuyCkiFmdfCTbtutyr,0.606,0.722,6,-6.749,1,0.17,0.0712,0.0,0.563,0.599,145.776,4,29,63,3.3393166666666665,1,0,0,1
0UaFVjNd7WxSb8hHHL6eql,0.791,0.486,7,-8.484,1,0.0396,0.00745,0.000232,0.0631,0.801,138.023,4,28,63,3.6,1,0,0,1
02C8LnCzpt55mLbq3uTOxC,0.713,0.56,5,-9.158,0,0.0743,0.143,2.11e-05,0.054,0.377,109.994,4,18,63,3.5777833333333335,1,0,0,1
2gtkpOKqsgdXTGNIDxetHe,0.824,0.505,11,-6.516,0,0.277,0.0044,1e-06,0.0919,0.658,94.964,4,17,63,3.1371166666666666,1,0,0,1
0jzi5uST43AnbGhM26bC0D,0.432,0.768,11,-3.894,0,0.337,0.0668,0.0,0.278,0.602,174.011,4,16,63,3.93845,1,1,0,2
2NlZzSCrVLNVCRoRrltDho,0.585,0.757,11,-7.672,1,0.385,0.0923,0.0,0.191,0.651,103.904,5,17,63,3.4231166666666666,1,1,0,1
11Z9daGe3H6kkxRYSE6JK0,0.601,0.397,9,-9.153,1,0.029,0.157,3.32e-06,0.0679,0.155,133.803,4,14,63,4.59445,1,0,0,0
0VZqPG578aDwHxKNiwDKi7,0.567,0.779,9,-4.421,1,0.106,0.0271,0.0,0.297,0.42,83.938,4,11,63,3.4086666666666665,1,0,0,1
11Rm75lU5EmETsTR22C0gT,0.127,0.941,1,-16.083,0,0.0509,0.813,0.988,0.178,1e-05,82.144,3,69,65,1.6145333333333334,0,0,0,3
