video_id,comment_count,like_count,view_count,rate_v_c,rate_v_l,rate_c_l,outlier,comment_bin,like_bin,view_bin
Ky5QjQcDRnA,5,234,12395,-0.045,-0.037,-0.039,1,3,3,3
PfrIue_zkmY,7575,204965,30854636,-0.035,-0.037,-0.039,1,4,4,4
QxtFyvnlU_0,5749,268448,24465613,-0.034,-0.037,-0.039,1,3,3,3
7BE_583AqL4,1713,44022,3539352,-0.045,-0.037,-0.039,1,0,0,0
BzOOF_BDtho,2413,95376,4946552,-0.045,-0.037,-0.039,1,3,3,3
l94vCs0vtbE,4818,159961,12108617,-0.043,-0.037,-0.039,1,3,3,3
khEC0WbFRPI,2431,69829,5294593,-0.045,-0.037,-0.039,1,4,3,3
rfXpczaipOE,975,20651,1301766,-0.049,-0.037,-0.039,1,3,3,3
w-GgaM4oLCU,824,36219,2932726,-0.038,-0.037,-0.039,1,1,0,0
cg3myULHqiE,11856,711696,65581211,-0.027,-0.037,-0.039,1,3,2,2
Qg_jLLPlv5o,4431,166066,7723222,-0.047,-0.037,-0.039,1,2,1,1
JpCyRk6iUas,3121,181558,18829849,-0.025,-0.037,-0.039,1,2,2,2
V3Pavo7eCmI,15829,677762,90376833,-0.026,-0.037,-0.039,1,4,3,2
uSG9ejcx7UM,2966,81232,20739152,-0.02,-0.036,-0.039,1,3,2,2
Mnv8CLE5fhI,818,24299,7137530,-0.011,-0.036,-0.039,1,2,2,1
CU53GbvnAeY,463,15664,4176628,-0.009,-0.036,-0.039,1,4,3,3
EtZ4LRr9mQ8,1065,40723,15754154,0.021,-0.036,-0.039,1,3,3,3
pdkexV-fJiQ,129,3667,491299,-0.036,-0.037,-0.039,1,1,1,0
5JHgN3Xx6vg,2872,62087,20719375,-0.018,-0.036,-0.039,1,0,0,0
7m5r6TQoPPY,585,26242,10955387,0.041,-0.036,-0.039,1,0,0,1
D9bEBEKSWbs,1799,69195,22401131,0.009,-0.036,-0.039,1,0,0,0
6egSMBVH0ok,1839,76536,34327429,0.041,-0.036,-0.039,1,0,0,0
ew1fKCWb_M4,4284,234762,39714378,-0.008,-0.037,-0.039,1,0,0,0
T0NYv8tS4tk,2210,74188,7770773,-0.038,-0.037,-0.039,1,0,0,0
KL0G0asLNMU,336,10702,1006936,-0.04,-0.037,-0.039,1,4,4,3
7NhMrRSUqNk,3533,164737,15387001,-0.033,-0.037,-0.039,1,0,0,0
86Ft6CKnxa0,85,5116,270327,-0.04,-0.037,-0.039,1,0,0,0
0_9asoR-sAU,73,3769,164933,-0.044,-0.037,-0.039,1,0,0,0
JhcLpwlA-ZA,185,4289,476354,-0.043,-0.037,-0.039,1,0,0,0
tMhyOvYzZM0,49,781,52008,-0.051,-0.037,-0.039,1,3,3,2
5Pl2k-K4ehs,52,3264,594709,0.002,-0.037,-0.039,1,0,0,0
yQPoMfC-0FE,3,90,24676,-0.024,-0.036,-0.039,1,1,1,0
-BLPMsoGbWA,61,1405,308494,-0.03,-0.036,-0.039,1,1,1,1
nvsQGhiO4Pw,14,197,17316,-0.05,-0.037,-0.039,1,2,2,2
X_OGX3jT2pA,77,2054,292789,-0.036,-0.037,-0.039,1,1,1,1
wJJGikSD9ho,256,3064,654450,-0.043,-0.036,-0.039,1,2,2,2
9LtJYw1eY30,28832,1547934,347968161,0.007,-0.036,-0.039,1,3,2,2
UKA31XLzsNA,25731,743530,118654948,-0.032,-0.037,-0.039,1,1,1,1
nZhLM-FeV9A,12014,870329,179919219,0.022,-0.036,-0.039,1,1,1,1
dlz09a-pyPE,3184,263975,19445786,-0.024,-0.037,-0.039,1,1,1,1
snpV6awcBPo,25764,1281396,218385591,-0.012,-0.037,-0.039,1,0,0,1
6OY1kbR7uAc,4253,228341,31385349,-0.018,-0.037,-0.039,1,3,4,3
yWeVII7qF3A,5783,486392,79392904,0.015,-0.037,-0.039,1,3,3,3
EbyAoYaUcVo,25548,1006915,44831423,-0.047,-0.037,-0.039,1,2,2,2
sLykke8q2ls,10534,796607,34596547,-0.039,-0.037,-0.039,1,3,3,3
hFGG7T3Mq3w,36837,1776841,73992739,-0.046,-0.037,-0.039,1,3,3,3
mmQ7PmDo2fQ,12092,416525,13561490,-0.05,-0.037,-0.039,1,2,2,2
qahz6nT3jy4,11735,341281,6705225,-0.053,-0.037,-0.039,1,2,2,2
iSallxKpm8Y,34352,1140195,44575791,-0.049,-0.037,-0.039,1,1,1,2
DI8QlyOd5D8,51525,1171739,25094070,-0.054,-0.037,-0.039,1,2,2,2
DI4_j-m6vJw,46832,1405402,52088525,-0.05,-0.037,-0.039,1,0,0,0
eC2eMBPY5Sw,1824,63951,1622705,-0.051,-0.037,-0.039,1,3,3,2
Awx2ejzQOFk,12317,685596,185594729,0.022,-0.036,-0.039,1,2,2,2
akKcFZzKkyk,1976,66196,18789826,-0.007,-0.036,-0.039,1,0,0,0
C5bmbitaRYo,108,985,356337,-0.039,-0.036,-0.039,1,1,1,1
qbC_Tgoehkc,1444,37543,8509745,-0.025,-0.036,-0.039,1,0,0,0
7PNNV2WjCYw,195,6598,526888,-0.042,-0.037,-0.039,1,3,3,3
6ogwHKKs86c,120,4213,830970,-0.02,-0.036,-0.039,1,4,4,4
fzJrxqNdxns,1410,65481,10586332,-0.017,-0.037,-0.039,1,4,4,4
AB_rVSyZ3Hk,109,2838,613468,-0.027,-0.036,-0.039,1,4,4,4
umxOhtUCepc,1198,50538,10399586,-0.011,-0.036,-0.039,1,3,3,3
jcmv9twd26s,848,56335,9859004,0.004,-0.037,-0.039,1,4,4,4
68ixlbMQaY0,7942,295252,53174659,-0.021,-0.037,-0.039,1,2,1,1
FQzC23GLptE,11647,530403,93536304,-0.014,-0.037,-0.039,1,4,4,4
RfrkOQgaj0Q,373,11923,2573975,-0.02,-0.036,-0.039,1,2,2,2
g4y3RKgF47o,475,33800,4488199,-0.007,-0.037,-0.039,1,4,3,4
VnxfoSUlZC4,94,3700,469520,-0.03,-0.037,-0.039,1,2,3,2
GtanRpjxAl4,1747,154453,22464441,0.011,-0.037,-0.039,1,3,3,3
xQZ4kyNB1OI,4242,128360,9186998,-0.045,-0.037,-0.039,1,0,0,0
Hwwe5xTZCdk,2255,66157,8023595,-0.038,-0.037,-0.039,1,1,1,1
