track_id,track_popularity,artist_popularity
6ic8OlLUNEATToEFU3xmaH,82,78
3MjUtNVVq3C8Fn0MP3zhXa,82,78
6naxalmIoLFWR0siv8dnQQ,81,78
0YWUHZPJVg4iujddsJDwhM,54,78
4fixebDZAVToLbUCuEloa2,78,78
7jk7gqyEonmVVYahZN5zhW,77,78
6T689Jvh5KrSXyaPtUWZtQ,73,78
2hdy9Wt9qp7M7d0U3ossu2,73,78
2B4GHvToeLTOBB4QLzW3Ni,73,82
6C1RD7YQVvt3YQj0CmuTeu,82,94
6K5BsR04ijf3FHNzjbaagD,78,87
6mAN61JH0dzyZpWslS11jy,76,87
4U0JLGFHJpEnDS5w8F7ngE,66,68
3BomnHfqKZCdPJC9bkGBjE,73,79
56Ta1O7Jxxpjnc6cWdDKUo,72,76
2QAwkI8L0UVBpjHJ6PwBzn,73,82
3eSJmGWqoBRx5wbFCtvPtz,71,62
17BqQS5Cj899fQR8e6gvk9,62,68
6OzUIp8KjuwxJnCWkXp1uL,83,78
7d7aPD2oxuzjhOZnu4Dj23,69,71
7it0u6IGJQLRX9Q9q7vgOj,63,78
2CT2oLeINCEuTEBrkTLUgD,58,70
6ksWMnPcHNyNoNf3y1BQCO,78,85
2FqoR7diymD1Eh7cVb3DMg,74,78
4kAtRwNRLMKuoCbxMSxUGI,76,78
1Kgyx7NLtzsa3gWV1efGHu,75,78
7MRU4vOkywuhZ9kbFiPuiu,71,85
4Yxc55NX3tAXC2mHRAhtcW,81,89
28UMEtwyUUy5u0UWOVHwiI,72,53
7tUSJY4nsDBJTjd1UXKRsT,70,52
1mRBJdpIgc3jZH8C3cN2WV,70,70
6oYkwjI1TKP9D0Y9II1GT7,71,54
4zDfgax6Ihb0UWdour1ZEs,67,47
0PKmDncVOiNQLO6D1P6PXi,69,50
0k7Shopj669EbywEjsqoqm,56,52
2F8LPJgSVTJxukoParTyBD,63,52
5rWIO1uP0GwAoU45RTBJ2F,67,66
5IgjP7X4th6nMNDh4akUHb,89,85
0vjeOZ3Ft5jvAi9SBFJm1j,87,87
6XHVuErjQ4XNm6nDPVCxVX,80,85
2BEcap3xJtmiPaHKyfQi4e,78,66
1IIKrJVP1C9N7iPtG6eOsK,77,85
3NZJlJemX3mzjf56MqC5ML,79,85
2xRGPubKBTHX6iyrpQvtCy,70,85
71mHO4fFmS2Xu5XxZbcRND,69,85
3baPniPXS0iEII8rDUJdYP,78,62
5Lgcn7u07bHuqbOtXkN62u,76,85
3azJifCSqg9fRij2yKIbWz,89,79
1au2UduxcvHfa0fZS3Szci,78,79
2Gyc6e2cLxA5hoX1NOvYnU,78,79
4xqIYGwwZTEem9U8A42SPF,78,79
2MbdDtCv5LUVjYy9RuGTgC,74,77
6ieWL5CLN9WdC875guWtMe,75,79
6ydWxkzjDktHsTzvWcaZ1i,73,79
0Odu228D0yGcFySGuxU4rY,71,79
5uKHTLXNcftXtYfU7j9cQ6,73,79
4sMmYKC0ot3GTbl2RzHw7T,72,79
0bYg9bo50gSsH3LtXe2SQn,74,76
3PIDciSFdrQxSQSihim3hN,58,76
6xkryXuiZU360Lngd4sx13,80,76
2aBxt229cbLDOvtL7Xbb9x,75,76
3LmvfNUQtglbTrydsdIqFU,73,76
0YImOCkIJ2PWhCXaURCZnY,74,70
1kMOJBmpfWD9fir6st9uqS,73,76
3IcIIZMMS7UArJJPtEHXG8,70,76
4FCb4CUbFCMNRkI6lYc1zI,72,76
3B7FO3kJ5kv3mX7yiaB7sT,54,76
3i7qScF9Oyp31O9bAutJez,72,78
6bdpj89aYEBjhpsenXAsmO,75,78
3KeMulXbLDJBQdY5PZbGEh,72,78
3gOXq3FPPesm7VLPKmef6j,68,78
5OMUXgfXsSukZ0zxelpC3b,73,78
1O5mTSQa0sCce9ghhDqIZl,71,78
1uJ2czshFLqimctgvsxfv2,63,78
7mLEUzAulFygMchoGMrP8E,70,78
7F8RNvTQlvbeBLeenycvN6,69,78
4FeczSomVWVyU4FW7xDeAI,71,78
7tb8nir1Wd25emgErIiKkt,19,84
38DiGBjKQdeDmE7CqLo8jL,22,84
2LYxeQ7gSg5AyqjcEt0UG9,8,84
0DjEoVRlUV3mopYyeQnaTH,24,84
29y51auVbI2hhmsq3adsht,22,84
40QP3t1yIGmzgijNoAVRui,21,84
3dcmXGYB73WOSanK4B0V2c,21,84
5jmtr79DRqaEcWZA9OFPCU,21,84
0JoDJblRIkMNqUtJGp2fXH,25,84
4Ume0fW73wXZC739aRxs2i,22,84
4UMIv5jd9gK98a39BQRD9X,77,86
1smFN2CLqGROu0J0UyvDfL,78,86
4bD9z9qa4qg9BhryvYWB7c,78,86
7eQl3Yqv35ioqUfveKHitE,79,86
5O932cZmzOZGOGZz9RHx20,76,86
0dLbrlAVPPjpPqnYfmJsWk,72,75
4SqPZorSDuUtvdJwVGeZRC,64,86
6FjbAnaPRPwiP3sciEYctO,77,86
6vo7Y1iWyZvpjvFbf6BiZ5,0,0
2FZDNh6tm9mkZ9vTphuAh8,63,86
6udC4b4jOSnHb9ItnXgKLR,77,75
5G7pZ8G8NFvS1MQ9H4L7dC,77,65
6zfvsbeuFKoWIdoRb3JdhA,55,86
3KeMulXbLDJBQdY5PZbGEh,72,78
1cmZbGkCEVVAck2MsWpPYQ,72,60
6vZj02bcQqLTYRAi4jRkw7,1,78
4Q3oEhpsDommo2naYhCpAl,71,81
3WVHfTd7xz9VPYJQFpOp8j,64,74
5a11x5PUFvJEadMRqtNtTr,67,75
0rk2X5TAhraBC5aCIXK2Rq,71,57
4gMgiXfqyzZLMhsksGmbQV,79,77
6mFkJmJqdDVQ1REhVfGgd1,78,77
2TjdnqlpwOjhijHCwHCP2d,74,77
5HNCy40Ni5BZJFw1TKzRsC,76,77
0vFOzaXqZHahrZp6enQwQb,74,77
2ctvdKmETyOzPb2GiJJT53,74,77
3TO7bbrUKrOSPGRTB5MeCz,73,77
7F02x6EKYIQV3VcTaTm7oN,69,77
05uGBKRCuePsf43Hfm0JwX,68,77
1TKTiKp3zbNgrBH2IwSwIx,67,77
2DlHlPMa4M17kufBvI2lEN,86,77
0snQkGI5qnAmohLE7jTsTn,84,77
1VNWaY3uNfoeWqb5U8x2QX,79,77
4e9eGQYsOiBcftrWXwsVco,80,77
0EYOdF5FCkgOJJla8DI2Md,79,77
31RTFPrB7wmYBhlkM2ILXG,76,77
249Z7XT6mf8B2zuI0RaeS0,71,77
6oO7WMjD6kEvCITLbVj0mu,72,77
4vAHXnJ5YWLq5hbIVzZS1h,71,77
3AwLxSqo1jOOMpNsgxqRNE,69,77
6L89mwZXSOwYl76YXfX13s,84,78
6nTiIhLmQ3FWhvrGafw2zj,82,78
6ORqU0bHbVCRjXm9AjyHyZ,82,78
3ZffCQKLFLUvYM59XKLbVm,81,78
5GorCbAP4aL0EJ16frG2hd,80,78
1Dr1fXbc2IxaK1Mu8P8Khz,79,78
64yrDBpcdwEdNY9loyEGbX,77,78
4VgEM12OeaN3GyBV487Me7,72,78
0MsrWnxQZxPAcov7c74sSo,73,78
1nLnpLXvl68RZCSjfkyiaa,73,78
1BncfTJAWxrsxyT9culBrj,79,76
3weNRklVDqb4Rr5MhKBR3D,73,76
0Dkibk70FDp6t7eOZNemNQ,71,76
4hQeiQovsUpgox09PPXw91,60,76
48i1p3R9l9f7zjcHPJysZZ,65,76
0UOMGdqvwCRGoEhXEJp78U,64,76
7elLKWtTEMCbOmYZ37ci9r,59,76
1kKbVnjBHvRSMJUsNOQp2h,62,76
4BMHp3DkI8VLsuB9Kr0pzu,61,76
