id,video_num,video_id,comment_text
A8MO7fkZc5o3,38,A8MO7fkZc5o,Dope songs from matalica.
A8MO7fkZc5o4,38,A8MO7fkZc5o,Undertaker hall of fame 😎😎
ZDyDpdFZHBo0,39,ZDyDpdFZHBo,"""Screaming Suicide addresses the taboo word of suicide,” says James Hetfield. ""The intention is to communicate about the darkness we feel inside. It's ridiculous to think we should deny that we have these thoughts. At one point or another I believe most people have thought about it. To face it is to speak the unspoken. If it's a human experience, we should be able to talk about it. You are not alone.”"
ZDyDpdFZHBo1,39,ZDyDpdFZHBo,epicoooooo⚡⚡⚡⚡⚡⚡😎😎😎😎
ZDyDpdFZHBo2,39,ZDyDpdFZHBo,"I know, we're not alone, but I just wanna hear this song, I know it's Metallica, alright, but why does youtube have to be a.. about it ?"
ZDyDpdFZHBo3,39,ZDyDpdFZHBo,"Metallica have gotta be the most HONEST bands-you speak my TRUTH.❤People who have absolutely no understanding or insight try to tell me that listening to metal is only making me more depressed and suicidal-NOT TRUE-it's(sadly😢)relatable.❤ you guys.Every best wish to my fellow Metallica Family members,may you find peace and healing."
ZDyDpdFZHBo4,39,ZDyDpdFZHBo,Holy
yKNxeF4KMsY0,40,yKNxeF4KMsY,"2023 is approaching 2024 and I'm still listening, I like this song☺️☺️"
yKNxeF4KMsY1,40,yKNxeF4KMsY,coldplay its amazing
yKNxeF4KMsY2,40,yKNxeF4KMsY,I'm so grateful to have come across such a wonderful band and such amazing songs. 素敵なアーティスト、素敵な曲に出逢えて幸せです❤🇯🇵
yKNxeF4KMsY3,40,yKNxeF4KMsY,"Stanley, mesmo depois do abandono eu continuo amando vc com todas as minhas forças sei que vc ouve essa música então por isso estou aqui colocando essa mensagem pra vc.❤ nao sei se ira ler mais só Deus sabe o que tenho passado s3m vc 💔 meu coração dói e eu nao consigo esquecer vc."
yKNxeF4KMsY4,40,yKNxeF4KMsY,"When I first heard this song round about that was the time that my last year of high school was ending blending into the messier blurs of trying to succeed in a collegiate environment. I also like the Katherine Ho version from Crazy Rich Asians. But last year my newborn niece died unexpectedly at four weeks old and ever since then I have found more solace and hope in this song. So thank you, Coldplay the band."
dvgZkm1xWPE0,41,dvgZkm1xWPE,Cope
dvgZkm1xWPE1,41,dvgZkm1xWPE,This song aged well
dvgZkm1xWPE2,41,dvgZkm1xWPE,Un jour pour rien .
dvgZkm1xWPE3,41,dvgZkm1xWPE,whos from 2023
dvgZkm1xWPE4,41,dvgZkm1xWPE,🐕
FM7MFYoylVs0,43,FM7MFYoylVs,pes 2018 nostalgie
FM7MFYoylVs1,43,FM7MFYoylVs,I ALMIGHTY ERASING ALL COMMANDMANTS 11-60 FROM EVER BEING NOW
FM7MFYoylVs2,43,FM7MFYoylVs,"I ALMIGHTY NEVER SAID CHRISTOPHER ALLEN SALMINEN WAS I HE IS NOW MY PARENT GOD OF ISRAEL, I AM NOT CHRISTOPHER ALLEN SALMINEN"
FM7MFYoylVs3,43,FM7MFYoylVs,JUST ALLOWING FULFILLMENT OF JUDGEMENT TO COMPLETION  SO THE TORTURE ENDS FOR MY PHYSICAL NOW PLEASE
FM7MFYoylVs4,43,FM7MFYoylVs,"Super song, so inspired me. 😊"
RB-RcX5DS5A0,44,RB-RcX5DS5A,Nicole Chung
RB-RcX5DS5A1,44,RB-RcX5DS5A,Buena música transmite energía!
RB-RcX5DS5A2,44,RB-RcX5DS5A,Let's go back to the Stars https://youtu.be/CduA0TULnow
RB-RcX5DS5A3,44,RB-RcX5DS5A,October 2023♥️
RB-RcX5DS5A4,44,RB-RcX5DS5A,all love you eu amooooooooooooooooooooooooo
VPRjCeoBqrI0,45,VPRjCeoBqrI,2023 n still❤
VPRjCeoBqrI1,45,VPRjCeoBqrI,2023 anyone??
VPRjCeoBqrI2,45,VPRjCeoBqrI,POV: what the average British parents used to listen to and still do
VPRjCeoBqrI3,45,VPRjCeoBqrI,2023 ❤
VPRjCeoBqrI4,45,VPRjCeoBqrI,"TRT2 TV'de konserlerini izledikten sonra, kulaklıkla tekrar dinleyip keyif almak için buraya geldim 🎉🎉"
1G4isv_Fylg0,46,1G4isv_Fylg,Brazil 🇧🇷🇧🇷🇧🇷🇧🇷
1G4isv_Fylg1,46,1G4isv_Fylg,Eu ouvia essa musica pensando q um dia iria realizar meu  sonhor de ir morar no Estados Unidos.... e agora eu ouço chorando pq ano  q vem vou realizar meu sonho de ir pro E.U.A. 😭💗 muito obgd coldplay!
1G4isv_Fylg2,46,1G4isv_Fylg,Coldplay - Chicago fire
