,uri,tracks_id,danceability,energy,key,loudness,mode,speechiness,acousticness,intrumentalness,liveness,valence,tempo,duration_ms,time_signature,analysis_url,track_href
3873,spotify:track:2klVj9ANtLx1uD4QSGEpkC,2klVj9ANtLx1uD4QSGEpkC,0.591,0.559,4,-10.037,1,0.0291,0.872,0.033,0.122,0.42,115.955,194547,4,https://api.spotify.com/v1/audio-analysis/2klVj9ANtLx1uD4QSGEpkC,https://api.spotify.com/v1/tracks/2klVj9ANtLx1uD4QSGEpkC
3874,spotify:track:4QMUHjXN6V2lfq4FYqWeTa,4QMUHjXN6V2lfq4FYqWeTa,0.418,0.307,10,-6.707,1,0.0321,0.858,0.0,0.114,0.383,96.677,267250,4,https://api.spotify.com/v1/audio-analysis/4QMUHjXN6V2lfq4FYqWeTa,https://api.spotify.com/v1/tracks/4QMUHjXN6V2lfq4FYqWeTa
3875,spotify:track:2sn6Gd1vgaw2sYFVdXhLcu,2sn6Gd1vgaw2sYFVdXhLcu,0.573,0.249,2,-12.546,1,0.0288,0.804,0.361,0.109,0.297,77.354,223467,4,https://api.spotify.com/v1/audio-analysis/2sn6Gd1vgaw2sYFVdXhLcu,https://api.spotify.com/v1/tracks/2sn6Gd1vgaw2sYFVdXhLcu
3876,spotify:track:5xv9Shs68bVmUd9tiJSK8r,5xv9Shs68bVmUd9tiJSK8r,0.503,0.269,8,-7.676,1,0.0274,0.931,5.49e-05,0.111,0.317,101.913,263295,4,https://api.spotify.com/v1/audio-analysis/5xv9Shs68bVmUd9tiJSK8r,https://api.spotify.com/v1/tracks/5xv9Shs68bVmUd9tiJSK8r
3877,spotify:track:65cQkOFngSgj37Gnzp4ry4,65cQkOFngSgj37Gnzp4ry4,0.353,0.386,0,-10.927,1,0.045,0.661,0.000231,0.0806,0.269,147.808,234240,4,https://api.spotify.com/v1/audio-analysis/65cQkOFngSgj37Gnzp4ry4,https://api.spotify.com/v1/tracks/65cQkOFngSgj37Gnzp4ry4
3878,spotify:track:1cStIHn8Mjheb6O66QDRIl,1cStIHn8Mjheb6O66QDRIl,0.253,0.255,7,-15.424,1,0.0319,0.817,0.936,0.102,0.32,83.76,159760,3,https://api.spotify.com/v1/audio-analysis/1cStIHn8Mjheb6O66QDRIl,https://api.spotify.com/v1/tracks/1cStIHn8Mjheb6O66QDRIl
3879,spotify:track:4WYZuhsa8idA4kPDPsNY6B,4WYZuhsa8idA4kPDPsNY6B,0.227,0.322,2,-10.853,0,0.0309,0.676,0.833,0.122,0.253,92.234,188240,4,https://api.spotify.com/v1/audio-analysis/4WYZuhsa8idA4kPDPsNY6B,https://api.spotify.com/v1/tracks/4WYZuhsa8idA4kPDPsNY6B
3880,spotify:track:1Em7tl54ZR5yJrPqe3pcdS,1Em7tl54ZR5yJrPqe3pcdS,0.251,0.315,4,-10.566,0,0.0299,0.775,0.93,0.34,0.121,83.154,214307,3,https://api.spotify.com/v1/audio-analysis/1Em7tl54ZR5yJrPqe3pcdS,https://api.spotify.com/v1/tracks/1Em7tl54ZR5yJrPqe3pcdS
3881,spotify:track:7sdt8zi25vNe1KNvstXerq,7sdt8zi25vNe1KNvstXerq,0.179,0.321,2,-11.788,1,0.0294,0.791,0.865,0.104,0.453,174.047,230520,4,https://api.spotify.com/v1/audio-analysis/7sdt8zi25vNe1KNvstXerq,https://api.spotify.com/v1/tracks/7sdt8zi25vNe1KNvstXerq
3882,spotify:track:2GtsXkZxYU6rv0ZokbUzV8,2GtsXkZxYU6rv0ZokbUzV8,0.214,0.264,7,-15.888,0,0.0335,0.548,0.954,0.165,0.183,71.187,205400,4,https://api.spotify.com/v1/audio-analysis/2GtsXkZxYU6rv0ZokbUzV8,https://api.spotify.com/v1/tracks/2GtsXkZxYU6rv0ZokbUzV8
3883,spotify:track:2ALPECYsOxZ0qQlxnQPlj6,2ALPECYsOxZ0qQlxnQPlj6,0.228,0.346,2,-10.995,1,0.0309,0.745,0.881,0.185,0.119,81.718,224800,4,https://api.spotify.com/v1/audio-analysis/2ALPECYsOxZ0qQlxnQPlj6,https://api.spotify.com/v1/tracks/2ALPECYsOxZ0qQlxnQPlj6
3884,spotify:track:4wycVMta3MLNrI8Q6u8QQt,4wycVMta3MLNrI8Q6u8QQt,0.427,0.437,2,-12.836,1,0.0303,0.559,0.904,0.334,0.652,127.766,145680,4,https://api.spotify.com/v1/audio-analysis/4wycVMta3MLNrI8Q6u8QQt,https://api.spotify.com/v1/tracks/4wycVMta3MLNrI8Q6u8QQt
3885,spotify:track:3dPZQDZSw2mOmcED9vdWGT,3dPZQDZSw2mOmcED9vdWGT,0.309,0.214,4,-15.105,0,0.0299,0.826,0.811,0.13,0.309,80.108,273427,4,https://api.spotify.com/v1/audio-analysis/3dPZQDZSw2mOmcED9vdWGT,https://api.spotify.com/v1/tracks/3dPZQDZSw2mOmcED9vdWGT
3886,spotify:track:4Dbjx1keP0J6X0T3Ruga6o,4Dbjx1keP0J6X0T3Ruga6o,0.165,0.474,9,-9.334,1,0.0337,0.818,0.788,0.0918,0.083,136.753,230773,4,https://api.spotify.com/v1/audio-analysis/4Dbjx1keP0J6X0T3Ruga6o,https://api.spotify.com/v1/tracks/4Dbjx1keP0J6X0T3Ruga6o
3887,spotify:track:36NZFS9nWuj1Nskm3dykMU,36NZFS9nWuj1Nskm3dykMU,0.103,0.352,8,-10.361,1,0.0366,0.729,0.898,0.241,0.421,183.075,200907,4,https://api.spotify.com/v1/audio-analysis/36NZFS9nWuj1Nskm3dykMU,https://api.spotify.com/v1/tracks/36NZFS9nWuj1Nskm3dykMU
